Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4646043,,0,356.86,0,2,5l,Cc1sc2ncnc(SCC(=O)N3CC(=O)N(C)C3)c2c1Cl,IC50,'=',2.4,nM,8.62,,,UO_0000065,24.15,0.54,6.62,12.98,FALSE,CHEMBL4610952,Inhibition of human His6-tagged NOTUM (81 to 451 residues) Cys330Ser mutant transfected in HEK293S cells using OPTS as substrate incubated for 1 hr by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4610015,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4636894,,0,390.41,0,2.37,23,Cc1sc2ncnc(SCC(=O)N3CC(=O)N(C)C3)c2c1C(F)(F)F,IC50,'=',7,nM,8.15,,,UO_0000065,20.89,0.45,5.78,12.28,FALSE,CHEMBL4610952,Inhibition of human His6-tagged NOTUM (81 to 451 residues) Cys330Ser mutant transfected in HEK293S cells using OPTS as substrate incubated for 1 hr by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4610015,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL1689371,,0,240.31,0,2.18,6,Cc1cc2c(SCC(=O)O)ncnc2s1,IC50,'=',790,nM,6.1,,,UO_0000065,25.39,0.56,3.92,9.67,FALSE,CHEMBL4610952,Inhibition of human His6-tagged NOTUM (81 to 451 residues) Cys330Ser mutant transfected in HEK293S cells using OPTS as substrate incubated for 1 hr by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4610015,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL1492538,,0,229.28,0,2.85,23,Cc1cc(C(=O)O)c(C)n1Cc1ccccc1,IC50,'=',14000,nM,4.85,,,UO_0000065,21.17,0.39,2,11.49,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4644737,,0,233.24,0,2.93,20b,Cc1cc(C(=O)O)c(C)n1-c1ccccc1F,IC50,'=',3300,nM,5.48,,,UO_0000065,23.5,0.44,2.55,12.98,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4646461,,0,249.7,0,3.45,20h,Cc1cc(C(=O)O)c(C)n1-c1ccccc1Cl,IC50,'=',2300,nM,5.64,,,UO_0000065,22.58,0.45,2.19,13.35,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4638675,,0,255.32,0,3.67,20l,Cc1cc(C(=O)O)c(C)n1-c1cccc(C2CC2)c1,IC50,'=',580,nM,6.24,,,UO_0000065,24.43,0.45,2.57,14.77,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4647516,,0,317.69,0,4.46,20ee,Cc1cc(C(=O)O)c(C)n1-c1ccc(Cl)c(C(F)(F)F)c1,IC50,'=',2100,nM,5.68,,,UO_0000065,17.87,0.37,1.22,13.44,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4645650,,0,284.14,0,4.1,20s,Cc1cc(C(=O)O)c(C)n1-c1ccc(Cl)cc1Cl,IC50,'=',430,nM,6.37,,,UO_0000065,22.41,0.48,2.27,15.08,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4639980,,0,191.23,0,1.6,8,O=C(O)C1CCN(c2ccccc2)C1,IC50,'=',48000,nM,4.32,,,UO_0000065,22.58,0.42,2.72,10.65,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4644620,,0,193.12,0,2.04,5,Cc1[nH]c(C(F)(F)F)cc1C(=O)O,IC50,'=',6700,nM,5.17,,,UO_0000065,26.79,0.54,3.13,9.75,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4647833,,0,269.22,0,3.5,21,Cc1c(C(=O)O)cc(C(F)(F)F)n1-c1ccccc1,IC50,'=',22000,nM,4.66,,,UO_0000065,17.3,0.33,1.16,11.03,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4641069,,0,284.14,0,4.1,20w,Cc1cc(C(=O)O)c(C)n1-c1cc(Cl)cc(Cl)c1,IC50,'=',850,nM,6.07,,,UO_0000065,21.36,0.46,1.97,14.38,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4634413,,0,293.67,0,3.27,25q,O=C(O)C1CCN(c2ccc(Cl)c(C(F)(F)F)c2)C1,IC50,'=',200,nM,6.7,,,UO_0000065,22.81,0.48,3.43,16.52,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
