Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL2113928,,0,229.28,0,3.1,20g,Cc1ccc(-n2c(C)cc(C(=O)O)c2C)cc1,IC50,'=',2000,nM,5.7,,,UO_0000065,24.86,0.46,2.6,13.5,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4639422,,0,273.31,0,3.81,20y,Cc1cc(C(=O)O)c(C)n1-c1cccc(C2CC2)c1F,IC50,'=',200,nM,6.7,,,UO_0000065,24.51,0.46,2.89,15.86,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL284521,,0,220.25,0,1.99,4,CC(=O)NCCc1c[nH]c2ccc(F)cc12,IC50,'=',37200,nM,4.43,,,UO_0000065,20.11,0.38,2.44,9.87,FALSE,CHEMBL4622282,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4643261,,0,368.79,0,4.82,28c,O=C(Nc1ccccc1)C1CCN(c2ccc(Cl)c(C(F)(F)F)c2)C1,IC50,'=',1000,nM,6,,,UO_0000065,16.27,0.33,1.18,18.55,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4645641,,0,320.74,0,3.27,28d,CN(C)C(=O)C1CCN(c2ccc(Cl)c(C(F)(F)F)c2)C1,IC50,'=',1200,nM,5.92,,,UO_0000065,18.46,0.39,2.65,25.14,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL1492538,,0,229.28,0,2.85,23,Cc1cc(C(=O)O)c(C)n1Cc1ccccc1,IC50,'=',14000,nM,4.85,,,UO_0000065,21.17,0.39,2,11.49,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4646461,,0,249.7,0,3.45,20h,Cc1cc(C(=O)O)c(C)n1-c1ccccc1Cl,IC50,'=',2300,nM,5.64,,,UO_0000065,22.58,0.45,2.19,13.35,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4638675,,0,255.32,0,3.67,20l,Cc1cc(C(=O)O)c(C)n1-c1cccc(C2CC2)c1,IC50,'=',580,nM,6.24,,,UO_0000065,24.43,0.45,2.57,14.77,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4647516,,0,317.69,0,4.46,20ee,Cc1cc(C(=O)O)c(C)n1-c1ccc(Cl)c(C(F)(F)F)c1,IC50,'=',2100,nM,5.68,,,UO_0000065,17.87,0.37,1.22,13.44,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4644737,,0,233.24,0,2.93,20b,Cc1cc(C(=O)O)c(C)n1-c1ccccc1F,IC50,'=',3300,nM,5.48,,,UO_0000065,23.5,0.44,2.55,12.98,FALSE,CHEMBL4622283,Inhibition of human Notum (S81 to T451 residues) Cys330Ser mutant expressed in HEK293S GnTI cells using OPTS as substrate incubated for 40 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,Q6P988,C330S,CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Homo sapiens,SINGLE PROTEIN,CHEMBL4619806,1,Scientific Literature,J Med Chem,2020,None,
