Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4459892,,0,569.68,1,3.06,L28,CC[C@@H]1C(=O)N(C)c2cnc(Nc3cc(F)c(C(=O)NC4CCN(C)CC4)cc3OCCO)nc2N1C1CCCC1,IC50,'=',3.58,nM,8.45,,,UO_0000065,14.83,0.28,5.39,6.86,FALSE,CHEMBL4409680,Inhibition of recombinant full length human His-tagged PLK1 expressed in baculovirus expression system using ser/thr 16 as substrate incubated for 1 hr by Z'-LYTE assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4406868,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4458460,,0,540.64,1,3.91,L34,CC[C@@H]1C(=O)N(C)c2cnc(Nc3cc(F)c(C(=O)NC4CCCC4)cc3OCCO)nc2N1C1CCCC1,IC50,'=',3.89,nM,8.41,,,UO_0000065,15.56,0.29,4.5,7.01,FALSE,CHEMBL4409680,Inhibition of recombinant full length human His-tagged PLK1 expressed in baculovirus expression system using ser/thr 16 as substrate incubated for 1 hr by Z'-LYTE assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4406868,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4450624,,0,551.69,1,2.92,L11,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OCCO)nc2N1C1CCCC1,IC50,'=',4.27,nM,8.37,,,UO_0000065,15.17,0.29,5.45,6.8,FALSE,CHEMBL4409680,Inhibition of recombinant full length human His-tagged PLK1 expressed in baculovirus expression system using ser/thr 16 as substrate incubated for 1 hr by Z'-LYTE assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4406868,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4441121,,0,556.64,1,3.14,L29,CC[C@@H]1C(=O)N(C)c2cnc(Nc3cc(F)c(C(=O)NC4CCOCC4)cc3OCCO)nc2N1C1CCCC1,IC50,'=',5.14,nM,8.29,,,UO_0000065,14.89,0.28,5.15,6.42,FALSE,CHEMBL4409680,Inhibition of recombinant full length human His-tagged PLK1 expressed in baculovirus expression system using ser/thr 16 as substrate incubated for 1 hr by Z'-LYTE assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4406868,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4454222,,0,476.63,0,4.71,L6,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3C)nc2N1C1CCCC1,IC50,'=',5.75,nM,8.24,,,UO_0000065,17.29,0.32,3.53,9.11,FALSE,CHEMBL4409680,Inhibition of recombinant full length human His-tagged PLK1 expressed in baculovirus expression system using ser/thr 16 as substrate incubated for 1 hr by Z'-LYTE assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4406868,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4447251,,0,453.54,0,3.3,L14,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(C)=O)cc3OCCO)nc2N1C1CCCC1,IC50,'=',5.76,nM,8.24,,,UO_0000065,18.17,0.34,4.94,7.64,FALSE,CHEMBL4409680,Inhibition of recombinant full length human His-tagged PLK1 expressed in baculovirus expression system using ser/thr 16 as substrate incubated for 1 hr by Z'-LYTE assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4406868,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4548940,,0,478.6,0,4.1,L5,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCC4)cc3O)nc2N1C1CCCC1,IC50,'=',5.89,nM,8.23,,,UO_0000065,17.2,0.32,4.13,7.44,FALSE,CHEMBL4409680,Inhibition of recombinant full length human His-tagged PLK1 expressed in baculovirus expression system using ser/thr 16 as substrate incubated for 1 hr by Z'-LYTE assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4406868,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4448563,,0,496.61,0,3.23,L18,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC(C)C)cc3OCCO)nc2N1C1CCCC1,IC50,'=',6.86,nM,8.16,,,UO_0000065,16.44,0.31,4.93,6.81,FALSE,CHEMBL4409680,Inhibition of recombinant full length human His-tagged PLK1 expressed in baculovirus expression system using ser/thr 16 as substrate incubated for 1 hr by Z'-LYTE assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4406868,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4457656,,0,514.6,1,3.37,L32,CC[C@@H]1C(=O)N(C)c2cnc(Nc3cc(F)c(C(=O)NC(C)C)cc3OCCO)nc2N1C1CCCC1,IC50,'=',7.2,nM,8.14,,,UO_0000065,15.82,0.3,4.77,6.79,FALSE,CHEMBL4409680,Inhibition of recombinant full length human His-tagged PLK1 expressed in baculovirus expression system using ser/thr 16 as substrate incubated for 1 hr by Z'-LYTE assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4406868,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4465062,,0,540.64,1,3.91,L33,CCC1C(=O)N(C)c2cnc(Nc3cc(F)c(C(=O)NC4CCCC4)cc3OCCO)nc2N1C1CCCC1,IC50,'=',7.28,nM,8.14,,,UO_0000065,15.05,0.28,4.23,6.79,FALSE,CHEMBL4409680,Inhibition of recombinant full length human His-tagged PLK1 expressed in baculovirus expression system using ser/thr 16 as substrate incubated for 1 hr by Z'-LYTE assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,SINGLE PROTEIN,CHEMBL4406868,1,Scientific Literature,Eur J Med Chem,2019,None,
