Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL1479446,,0,390.41,1,5.48,1,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NC(=O)C1CCCCC1,AC50,'=',47,nM,7.33,,,UO_0000065,,,,,FALSE,CHEMBL3720764,Agonist activity at RXFP1 receptor (unknown origin) expressed in HEK293 cells assessed as stimulation of cAMP production incubated for 30 mins by TR-FRET based HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1293316,Relaxin receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3714716,38,Patent Bioactivity Data,,2015,CHEMBL3307715,
CHEMBL3715081,,0,520.53,2,5.66,180,CCCCOc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(S(=O)(=O)C(F)(F)F)c1,AC50,'=',47,nM,7.33,,,UO_0000065,,,,,FALSE,CHEMBL3720764,Agonist activity at RXFP1 receptor (unknown origin) expressed in HEK293 cells assessed as stimulation of cAMP production incubated for 30 mins by TR-FRET based HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1293316,Relaxin receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3714716,38,Patent Bioactivity Data,,2015,CHEMBL3307715,
CHEMBL3715235,,0,506.5,2,5.27,179,CCCOc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(S(=O)(=O)C(F)(F)F)c1,AC50,'=',52,nM,7.28,,,UO_0000065,,,,,FALSE,CHEMBL3720764,Agonist activity at RXFP1 receptor (unknown origin) expressed in HEK293 cells assessed as stimulation of cAMP production incubated for 30 mins by TR-FRET based HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1293316,Relaxin receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3714716,38,Patent Bioactivity Data,,2015,CHEMBL3307715,
CHEMBL3718400,,0,546.45,2,5.43,177,O=C(Nc1cccc(S(=O)(=O)C(F)(F)F)c1)c1ccccc1NC(=O)c1ccccc1OCC(F)(F)F,AC50,'=',67,nM,7.17,,,UO_0000065,,,,,FALSE,CHEMBL3720764,Agonist activity at RXFP1 receptor (unknown origin) expressed in HEK293 cells assessed as stimulation of cAMP production incubated for 30 mins by TR-FRET based HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1293316,Relaxin receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3714716,38,Patent Bioactivity Data,,2015,CHEMBL3307715,
CHEMBL3716980,,0,506.5,2,5.27,178; NCGC00250135,CC(C)Oc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(S(=O)(=O)C(F)(F)F)c1,AC50,'=',94,nM,7.03,,,UO_0000065,,,,,FALSE,CHEMBL3720764,Agonist activity at RXFP1 receptor (unknown origin) expressed in HEK293 cells assessed as stimulation of cAMP production incubated for 30 mins by TR-FRET based HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1293316,Relaxin receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3714716,38,Patent Bioactivity Data,,2015,CHEMBL3307715,
CHEMBL3717389,,0,492.48,0,4.88,144; 174,CCOc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(S(=O)(=O)C(F)(F)F)c1,AC50,'=',118,nM,6.93,,,UO_0000065,,,,,FALSE,CHEMBL3720764,Agonist activity at RXFP1 receptor (unknown origin) expressed in HEK293 cells assessed as stimulation of cAMP production incubated for 30 mins by TR-FRET based HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1293316,Relaxin receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3714716,38,Patent Bioactivity Data,,2015,CHEMBL3307715,
CHEMBL3717211,,0,478.45,0,4.49,159,COc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(S(=O)(=O)C(F)(F)F)c1,AC50,'=',188,nM,6.73,,,UO_0000065,,,,,FALSE,CHEMBL3720764,Agonist activity at RXFP1 receptor (unknown origin) expressed in HEK293 cells assessed as stimulation of cAMP production incubated for 30 mins by TR-FRET based HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1293316,Relaxin receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3714716,38,Patent Bioactivity Data,,2015,CHEMBL3307715,
CHEMBL3717089,,0,428.41,1,5.61,99,CCOc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(C(F)(F)F)c1,AC50,'=',265,nM,6.58,,,UO_0000065,,,,,FALSE,CHEMBL3720764,Agonist activity at RXFP1 receptor (unknown origin) expressed in HEK293 cells assessed as stimulation of cAMP production incubated for 30 mins by TR-FRET based HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1293316,Relaxin receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3714716,38,Patent Bioactivity Data,,2015,CHEMBL3307715,
CHEMBL3717103,,0,446.45,1,5.81,158,COc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(SC(F)(F)F)c1,AC50,'=',297,nM,6.53,,,UO_0000065,,,,,FALSE,CHEMBL3720764,Agonist activity at RXFP1 receptor (unknown origin) expressed in HEK293 cells assessed as stimulation of cAMP production incubated for 30 mins by TR-FRET based HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1293316,Relaxin receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3714716,38,Patent Bioactivity Data,,2015,CHEMBL3307715,
CHEMBL3717553,,0,414.38,1,5.22,74,COc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(C(F)(F)F)c1,AC50,'=',334,nM,6.48,,,UO_0000065,,,,,FALSE,CHEMBL3720764,Agonist activity at RXFP1 receptor (unknown origin) expressed in HEK293 cells assessed as stimulation of cAMP production incubated for 30 mins by TR-FRET based HTRF assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL1293316,Relaxin receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3714716,38,Patent Bioactivity Data,,2015,CHEMBL3307715,
