Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL205681,,0,387.96,1,5.45,7t,CN(C)CCC(NC(=O)Nc1ccc(C(C)(C)C)cc1)c1ccc(Cl)cc1,EC50,'=',275.42,nM,6.56,,,UO_0000065,16.91,0.33,1.11,14.78,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL206552,,0,360.89,0,3.84,(-)-5l,CO[C@@H](C(=O)N[C@@H](CCN(C)C)c1ccc(Cl)cc1)c1ccccc1,EC50,'=',870.96,nM,6.06,,,UO_0000065,16.79,0.33,2.22,14.58,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL381756,,0,358.91,0,4.69,5k,Cc1cc(C)c(C(=O)NC(CCN(C)C)c2ccc(Cl)cc2)cc1C,EC50,'=',1778.28,nM,5.75,,,UO_0000065,16.02,0.31,1.06,17.78,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL207823,,0,392.93,1,5.43,(+)-5d,CN(C)CC[C@H](NC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(Cl)cc1,EC50,'=',32.36,nM,7.49,,,UO_0000065,19.06,0.37,2.06,23.16,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL206832,,0,359.9,1,5.12,4k,Cc1cc(C)c(C(=O)OC(CCN(C)C)c2ccc(Cl)cc2)cc1C,EC50,'=',467.74,nM,6.33,,,UO_0000065,17.59,0.35,1.21,21.43,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL208536,,0,362.86,0,4.59,6u,COc1cccc(NC(=O)OC(CCN(C)C)c2ccc(Cl)cc2)c1,EC50,'=',1122.02,nM,5.95,,,UO_0000065,16.4,0.33,1.36,11.71,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL205488,,0,346.86,0,4.89,6a,Cc1ccccc1NC(=O)OC(CCN(C)C)c1ccc(Cl)cc1,EC50,'=',3890.45,nM,5.41,,,UO_0000065,15.6,0.31,0.52,13.01,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL203337,,0,316.83,0,3.76,5s,CN(C)CCC(NC(=O)c1ccccc1)c1ccc(Cl)cc1,EC50,'=',1412.54,nM,5.85,,,UO_0000065,18.46,0.36,2.09,18.09,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL208362,,0,360.89,0,3.84,(+)-5l,CO[C@@H](C(=O)N[C@H](CCN(C)C)c1ccc(Cl)cc1)c1ccccc1,EC50,'=',5011.87,nM,5.3,,,UO_0000065,14.69,0.29,1.46,12.75,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL205157,,0,344.89,0,4.33,5f,CCc1ccccc1C(=O)N[C@@H](CCN(C)C)c1ccc(Cl)cc1,EC50,'=',1023.29,nM,5.99,,,UO_0000065,17.37,0.34,1.66,18.52,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL204989,,0,392.93,1,5.43,5d,CN(C)CCC(NC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(Cl)cc1,EC50,'=',77.62,nM,7.11,,,UO_0000065,18.09,0.35,1.68,21.99,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
CHEMBL204227,,0,345.87,0,4.81,4j,Cc1ccc(C)c(C(=O)OC(CCN(C)C)c2ccc(Cl)cc2)c1,EC50,'=',1862.09,nM,5.73,,,UO_0000065,16.57,0.33,0.92,19.4,FALSE,CHEMBL861584,Activity against human urotensin-2 receptor expressed in NIH3T3 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NIH3T3,None,,,,CHEMBL3764,Urotensin II receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146083,1,Scientific Literature,J. Med. Chem.,2006,CHEMBL3307716,
