Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4107291,,0,421.52,1,5.12,BDBM252609,Cc1cc(-c2nc(-c3ccc(F)c(OCC4CC4)c3)n3c2CCO[C@H](C)C3)cc(C)n1,IC50,'=',13,nM,7.89,,440052,UO_0000065,,,,,FALSE,CHEMBL3889189,"[35S]GTPgammaS Binding Assay: The frozen cell membrane fraction prepared as described above was thawed before use, and the resultant was diluted with a buffer for a binding assay (final concentrations: 20 mM HEPES, 100 mM NaCl, 1 mM MgCl2, 3 uM GDP, 300 ug/mL saponin, 0.1% BSA). The compound of each example was added to a cell membrane fraction containing 1.8 to 3 ug/assay of membrane protein on a plate, followed by incubation at room temperature for 30 minutes. Thereafter, with glutamic acid (in a final concentration of 10 uM) added thereto, incubation was performed at room temperature for 15 minutes, and thereafter, [35S]GTP?S (in a final concentration of 0.8 kBq) and 588 ug WGA-SPA beads were added thereto, followed by incubation at room temperature for 1 hour. After the incubation, the plate was subjected to the centrifugal separation at 2,500 rpm and room temperature, and then, membrane cell binding radioactivity was measured with a top count. A [35S]GTP?S binding amount obtained in the presence of glutamic acid was defined as specific binding. On the basis of ratios of inhibiting the specific binding at various concentrations of the compounds of the respective examples, inhibition curves were obtained. Concentrations of the compounds of the respective examples at which the specific [35S]GTP?S binding amount was suppressed by 50% (IC50 values) were calculated on the basis of the inhibition curves.",F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886984,37,BindingDB Database,,2016,None,
CHEMBL4109319,,0,417.43,1,5.09,BDBM252612,Cc1cc(-c2nc(-c3ccc(OC(F)(F)F)c(C)c3)n3c2CCO[C@H](C)C3)ccn1,IC50,'=',1.9,nM,8.72,,440055,UO_0000065,,,,,FALSE,CHEMBL3889189,"[35S]GTPgammaS Binding Assay: The frozen cell membrane fraction prepared as described above was thawed before use, and the resultant was diluted with a buffer for a binding assay (final concentrations: 20 mM HEPES, 100 mM NaCl, 1 mM MgCl2, 3 uM GDP, 300 ug/mL saponin, 0.1% BSA). The compound of each example was added to a cell membrane fraction containing 1.8 to 3 ug/assay of membrane protein on a plate, followed by incubation at room temperature for 30 minutes. Thereafter, with glutamic acid (in a final concentration of 10 uM) added thereto, incubation was performed at room temperature for 15 minutes, and thereafter, [35S]GTP?S (in a final concentration of 0.8 kBq) and 588 ug WGA-SPA beads were added thereto, followed by incubation at room temperature for 1 hour. After the incubation, the plate was subjected to the centrifugal separation at 2,500 rpm and room temperature, and then, membrane cell binding radioactivity was measured with a top count. A [35S]GTP?S binding amount obtained in the presence of glutamic acid was defined as specific binding. On the basis of ratios of inhibiting the specific binding at various concentrations of the compounds of the respective examples, inhibition curves were obtained. Concentrations of the compounds of the respective examples at which the specific [35S]GTP?S binding amount was suppressed by 50% (IC50 values) were calculated on the basis of the inhibition curves.",F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886984,37,BindingDB Database,,2016,None,
CHEMBL4115237,,0,417.43,0,4.74,BDBM252643,Cc1cc(-c2nc(-c3ccc(OC(F)F)c(C)c3)n3c2CCO[C@H](CF)C3)ccn1,IC50,'=',4.7,nM,8.33,,440086,UO_0000065,,,,,FALSE,CHEMBL3889189,"[35S]GTPgammaS Binding Assay: The frozen cell membrane fraction prepared as described above was thawed before use, and the resultant was diluted with a buffer for a binding assay (final concentrations: 20 mM HEPES, 100 mM NaCl, 1 mM MgCl2, 3 uM GDP, 300 ug/mL saponin, 0.1% BSA). The compound of each example was added to a cell membrane fraction containing 1.8 to 3 ug/assay of membrane protein on a plate, followed by incubation at room temperature for 30 minutes. Thereafter, with glutamic acid (in a final concentration of 10 uM) added thereto, incubation was performed at room temperature for 15 minutes, and thereafter, [35S]GTP?S (in a final concentration of 0.8 kBq) and 588 ug WGA-SPA beads were added thereto, followed by incubation at room temperature for 1 hour. After the incubation, the plate was subjected to the centrifugal separation at 2,500 rpm and room temperature, and then, membrane cell binding radioactivity was measured with a top count. A [35S]GTP?S binding amount obtained in the presence of glutamic acid was defined as specific binding. On the basis of ratios of inhibiting the specific binding at various concentrations of the compounds of the respective examples, inhibition curves were obtained. Concentrations of the compounds of the respective examples at which the specific [35S]GTP?S binding amount was suppressed by 50% (IC50 values) were calculated on the basis of the inhibition curves.",F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886984,37,BindingDB Database,,2016,None,
CHEMBL4114910,,0,451.88,1,5.74,BDBM252671,Cc1cc(-c2nc(-c3ccc(Cl)c(OC(F)(F)F)c3)n3c2CCO[C@H](C)C3)cc(C)n1,IC50,'=',13.2,nM,7.88,,440114,UO_0000065,,,,,FALSE,CHEMBL3889189,"[35S]GTPgammaS Binding Assay: The frozen cell membrane fraction prepared as described above was thawed before use, and the resultant was diluted with a buffer for a binding assay (final concentrations: 20 mM HEPES, 100 mM NaCl, 1 mM MgCl2, 3 uM GDP, 300 ug/mL saponin, 0.1% BSA). The compound of each example was added to a cell membrane fraction containing 1.8 to 3 ug/assay of membrane protein on a plate, followed by incubation at room temperature for 30 minutes. Thereafter, with glutamic acid (in a final concentration of 10 uM) added thereto, incubation was performed at room temperature for 15 minutes, and thereafter, [35S]GTP?S (in a final concentration of 0.8 kBq) and 588 ug WGA-SPA beads were added thereto, followed by incubation at room temperature for 1 hour. After the incubation, the plate was subjected to the centrifugal separation at 2,500 rpm and room temperature, and then, membrane cell binding radioactivity was measured with a top count. A [35S]GTP?S binding amount obtained in the presence of glutamic acid was defined as specific binding. On the basis of ratios of inhibiting the specific binding at various concentrations of the compounds of the respective examples, inhibition curves were obtained. Concentrations of the compounds of the respective examples at which the specific [35S]GTP?S binding amount was suppressed by 50% (IC50 values) were calculated on the basis of the inhibition curves.",F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886984,37,BindingDB Database,,2016,None,
CHEMBL4108918,,0,405.54,1,5.29,BDBM252845,Cc1cc(-c2nc(-c3ccc(OC(C)C)c(C)c3)n3c2CCO[C@H](C)C3)cc(C)n1,IC50,'=',2.4,nM,8.62,,440288,UO_0000065,,,,,FALSE,CHEMBL3889189,"[35S]GTPgammaS Binding Assay: The frozen cell membrane fraction prepared as described above was thawed before use, and the resultant was diluted with a buffer for a binding assay (final concentrations: 20 mM HEPES, 100 mM NaCl, 1 mM MgCl2, 3 uM GDP, 300 ug/mL saponin, 0.1% BSA). The compound of each example was added to a cell membrane fraction containing 1.8 to 3 ug/assay of membrane protein on a plate, followed by incubation at room temperature for 30 minutes. Thereafter, with glutamic acid (in a final concentration of 10 uM) added thereto, incubation was performed at room temperature for 15 minutes, and thereafter, [35S]GTP?S (in a final concentration of 0.8 kBq) and 588 ug WGA-SPA beads were added thereto, followed by incubation at room temperature for 1 hour. After the incubation, the plate was subjected to the centrifugal separation at 2,500 rpm and room temperature, and then, membrane cell binding radioactivity was measured with a top count. A [35S]GTP?S binding amount obtained in the presence of glutamic acid was defined as specific binding. On the basis of ratios of inhibiting the specific binding at various concentrations of the compounds of the respective examples, inhibition curves were obtained. Concentrations of the compounds of the respective examples at which the specific [35S]GTP?S binding amount was suppressed by 50% (IC50 values) were calculated on the basis of the inhibition curves.",F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886984,37,BindingDB Database,,2016,None,
CHEMBL4110543,,0,423.53,1,5.24,BDBM252847,Cc1cc(-c2nc(-c3ccc(OC(C)C)c(C)c3)n3c2CCO[C@H](CF)C3)cc(C)n1,IC50,'=',1.8,nM,8.74,,440290,UO_0000065,,,,,FALSE,CHEMBL3889189,"[35S]GTPgammaS Binding Assay: The frozen cell membrane fraction prepared as described above was thawed before use, and the resultant was diluted with a buffer for a binding assay (final concentrations: 20 mM HEPES, 100 mM NaCl, 1 mM MgCl2, 3 uM GDP, 300 ug/mL saponin, 0.1% BSA). The compound of each example was added to a cell membrane fraction containing 1.8 to 3 ug/assay of membrane protein on a plate, followed by incubation at room temperature for 30 minutes. Thereafter, with glutamic acid (in a final concentration of 10 uM) added thereto, incubation was performed at room temperature for 15 minutes, and thereafter, [35S]GTP?S (in a final concentration of 0.8 kBq) and 588 ug WGA-SPA beads were added thereto, followed by incubation at room temperature for 1 hour. After the incubation, the plate was subjected to the centrifugal separation at 2,500 rpm and room temperature, and then, membrane cell binding radioactivity was measured with a top count. A [35S]GTP?S binding amount obtained in the presence of glutamic acid was defined as specific binding. On the basis of ratios of inhibiting the specific binding at various concentrations of the compounds of the respective examples, inhibition curves were obtained. Concentrations of the compounds of the respective examples at which the specific [35S]GTP?S binding amount was suppressed by 50% (IC50 values) were calculated on the basis of the inhibition curves.",F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886984,37,BindingDB Database,,2016,None,
CHEMBL4115199,,0,460.43,0,4.91,BDBM252798,Cc1cc(-c2nc(-c3ccc(OC(F)(F)F)c(C#N)c3)n3c2CCO[C@H](CF)C3)cc(C)n1,IC50,'=',3.7,nM,8.43,,440241,UO_0000065,,,,,FALSE,CHEMBL3889189,"[35S]GTPgammaS Binding Assay: The frozen cell membrane fraction prepared as described above was thawed before use, and the resultant was diluted with a buffer for a binding assay (final concentrations: 20 mM HEPES, 100 mM NaCl, 1 mM MgCl2, 3 uM GDP, 300 ug/mL saponin, 0.1% BSA). The compound of each example was added to a cell membrane fraction containing 1.8 to 3 ug/assay of membrane protein on a plate, followed by incubation at room temperature for 30 minutes. Thereafter, with glutamic acid (in a final concentration of 10 uM) added thereto, incubation was performed at room temperature for 15 minutes, and thereafter, [35S]GTP?S (in a final concentration of 0.8 kBq) and 588 ug WGA-SPA beads were added thereto, followed by incubation at room temperature for 1 hour. After the incubation, the plate was subjected to the centrifugal separation at 2,500 rpm and room temperature, and then, membrane cell binding radioactivity was measured with a top count. A [35S]GTP?S binding amount obtained in the presence of glutamic acid was defined as specific binding. On the basis of ratios of inhibiting the specific binding at various concentrations of the compounds of the respective examples, inhibition curves were obtained. Concentrations of the compounds of the respective examples at which the specific [35S]GTP?S binding amount was suppressed by 50% (IC50 values) were calculated on the basis of the inhibition curves.",F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886984,37,BindingDB Database,,2016,None,
CHEMBL4107197,,0,429.92,1,5.19,BDBM252640,CCOc1ccc(-c2nc(-c3cc(C)nc(C)c3)c3n2C[C@@H](CF)OCC3)cc1Cl,IC50,'=',6,nM,8.22,,440083,UO_0000065,,,,,FALSE,CHEMBL3889189,"[35S]GTPgammaS Binding Assay: The frozen cell membrane fraction prepared as described above was thawed before use, and the resultant was diluted with a buffer for a binding assay (final concentrations: 20 mM HEPES, 100 mM NaCl, 1 mM MgCl2, 3 uM GDP, 300 ug/mL saponin, 0.1% BSA). The compound of each example was added to a cell membrane fraction containing 1.8 to 3 ug/assay of membrane protein on a plate, followed by incubation at room temperature for 30 minutes. Thereafter, with glutamic acid (in a final concentration of 10 uM) added thereto, incubation was performed at room temperature for 15 minutes, and thereafter, [35S]GTP?S (in a final concentration of 0.8 kBq) and 588 ug WGA-SPA beads were added thereto, followed by incubation at room temperature for 1 hour. After the incubation, the plate was subjected to the centrifugal separation at 2,500 rpm and room temperature, and then, membrane cell binding radioactivity was measured with a top count. A [35S]GTP?S binding amount obtained in the presence of glutamic acid was defined as specific binding. On the basis of ratios of inhibiting the specific binding at various concentrations of the compounds of the respective examples, inhibition curves were obtained. Concentrations of the compounds of the respective examples at which the specific [35S]GTP?S binding amount was suppressed by 50% (IC50 values) were calculated on the basis of the inhibition curves.",F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886984,37,BindingDB Database,,2016,None,
CHEMBL4114284,,0,377.49,0,4.51,BDBM252656,COc1cc(-c2nc(-c3cc(C)nc(C)c3)c3n2C[C@@H](C)OCC3)ccc1C,IC50,'=',21.3,nM,7.67,,440099,UO_0000065,,,,,FALSE,CHEMBL3889189,"[35S]GTPgammaS Binding Assay: The frozen cell membrane fraction prepared as described above was thawed before use, and the resultant was diluted with a buffer for a binding assay (final concentrations: 20 mM HEPES, 100 mM NaCl, 1 mM MgCl2, 3 uM GDP, 300 ug/mL saponin, 0.1% BSA). The compound of each example was added to a cell membrane fraction containing 1.8 to 3 ug/assay of membrane protein on a plate, followed by incubation at room temperature for 30 minutes. Thereafter, with glutamic acid (in a final concentration of 10 uM) added thereto, incubation was performed at room temperature for 15 minutes, and thereafter, [35S]GTP?S (in a final concentration of 0.8 kBq) and 588 ug WGA-SPA beads were added thereto, followed by incubation at room temperature for 1 hour. After the incubation, the plate was subjected to the centrifugal separation at 2,500 rpm and room temperature, and then, membrane cell binding radioactivity was measured with a top count. A [35S]GTP?S binding amount obtained in the presence of glutamic acid was defined as specific binding. On the basis of ratios of inhibiting the specific binding at various concentrations of the compounds of the respective examples, inhibition curves were obtained. Concentrations of the compounds of the respective examples at which the specific [35S]GTP?S binding amount was suppressed by 50% (IC50 values) were calculated on the basis of the inhibition curves.",F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886984,37,BindingDB Database,,2016,None,
CHEMBL4115388,,0,435.88,1,5.86,BDBM252732,Cc1cc(-c2nc(-c3ccc(C(F)(F)F)c(Cl)c3)n3c2CCO[C@H](C)C3)cc(C)n1,IC50,'=',15.7,nM,7.8,,440175,UO_0000065,,,,,FALSE,CHEMBL3889189,"[35S]GTPgammaS Binding Assay: The frozen cell membrane fraction prepared as described above was thawed before use, and the resultant was diluted with a buffer for a binding assay (final concentrations: 20 mM HEPES, 100 mM NaCl, 1 mM MgCl2, 3 uM GDP, 300 ug/mL saponin, 0.1% BSA). The compound of each example was added to a cell membrane fraction containing 1.8 to 3 ug/assay of membrane protein on a plate, followed by incubation at room temperature for 30 minutes. Thereafter, with glutamic acid (in a final concentration of 10 uM) added thereto, incubation was performed at room temperature for 15 minutes, and thereafter, [35S]GTP?S (in a final concentration of 0.8 kBq) and 588 ug WGA-SPA beads were added thereto, followed by incubation at room temperature for 1 hour. After the incubation, the plate was subjected to the centrifugal separation at 2,500 rpm and room temperature, and then, membrane cell binding radioactivity was measured with a top count. A [35S]GTP?S binding amount obtained in the presence of glutamic acid was defined as specific binding. On the basis of ratios of inhibiting the specific binding at various concentrations of the compounds of the respective examples, inhibition curves were obtained. Concentrations of the compounds of the respective examples at which the specific [35S]GTP?S binding amount was suppressed by 50% (IC50 values) were calculated on the basis of the inhibition curves.",F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3886984,37,BindingDB Database,,2016,None,
