Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4467515,,0,300.38,0,3.92,100,OC(CC1c2ccc(F)cc2-c2cncn21)C1CCCCC1,IC50,=',4000,nM,5.4,,,UO_0000065,17.97,0.34,1.48,14.19,FALSE,CHEMBL4367261,Inhibition of purified human IDO1 using L-tryptophan as substrate preincubated for 5 mins followed by substrate addition and measured after 15 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4685,"Indoleamine 2,3-dioxygenase",Homo sapiens,SINGLE PROTEIN,CHEMBL4364294,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4435301,,0,316.38,0,2.89,134,O[C@H](C[C@@H]1c2c(F)cccc2-c2cncn21)[C@H]1CC[C@H](O)CC1,IC50,=',3700,nM,5.43,,,UO_0000065,17.17,0.32,2.54,9.32,FALSE,CHEMBL4367261,Inhibition of purified human IDO1 using L-tryptophan as substrate preincubated for 5 mins followed by substrate addition and measured after 15 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4685,"Indoleamine 2,3-dioxygenase",Homo sapiens,SINGLE PROTEIN,CHEMBL4364294,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4443852,,0,316.38,0,2.89,133,O[C@@H](C[C@@H]1c2c(F)cccc2-c2cncn21)[C@H]1CC[C@H](O)CC1,IC50,=',2900,nM,5.54,,,UO_0000065,17.5,0.33,2.65,9.5,FALSE,CHEMBL4367261,Inhibition of purified human IDO1 using L-tryptophan as substrate preincubated for 5 mins followed by substrate addition and measured after 15 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4685,"Indoleamine 2,3-dioxygenase",Homo sapiens,SINGLE PROTEIN,CHEMBL4364294,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4466645,,0,200.24,0,1.84,57,OCCC1c2ccccc2-c2cncn21,IC50,=',6700,nM,5.17,,,UO_0000065,25.84,0.47,3.33,13.6,FALSE,CHEMBL4367261,Inhibition of purified human IDO1 using L-tryptophan as substrate preincubated for 5 mins followed by substrate addition and measured after 15 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4685,"Indoleamine 2,3-dioxygenase",Homo sapiens,SINGLE PROTEIN,CHEMBL4364294,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4552010,,0,316.83,0,4.44,102,OC(CC1c2c(Cl)cccc2-c2cncn21)C1CCCCC1,IC50,=',610,nM,6.21,,,UO_0000065,19.62,0.39,1.77,16.33,FALSE,CHEMBL4367261,Inhibition of purified human IDO1 using L-tryptophan as substrate preincubated for 5 mins followed by substrate addition and measured after 15 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4685,"Indoleamine 2,3-dioxygenase",Homo sapiens,SINGLE PROTEIN,CHEMBL4364294,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4461858,,0,340.42,0,3.18,112,COC(=O)[C@H]1CC[C@H]([C@H](O)CC2c3ccccc3-c3cncn32)CC1,IC50,=',280,nM,6.55,,,UO_0000065,19.25,0.36,3.37,10.18,FALSE,CHEMBL4367261,Inhibition of purified human IDO1 using L-tryptophan as substrate preincubated for 5 mins followed by substrate addition and measured after 15 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4685,"Indoleamine 2,3-dioxygenase",Homo sapiens,SINGLE PROTEIN,CHEMBL4364294,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4467319,,0,383.49,0,3.85,83,CC(C)(C)OC(=O)N1CCC(C(O)CC2c3ccccc3-c3cncn32)CC1,IC50,=',140,nM,6.85,,,UO_0000065,17.87,0.33,3,10.14,FALSE,CHEMBL4367261,Inhibition of purified human IDO1 using L-tryptophan as substrate preincubated for 5 mins followed by substrate addition and measured after 15 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4685,"Indoleamine 2,3-dioxygenase",Homo sapiens,SINGLE PROTEIN,CHEMBL4364294,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4577440,,0,402.5,0,4.15,94,O=C(Nc1ccccc1)N1CCC(C(O)CC2c3ccccc3-c3cncn32)CC1,IC50,=',45,nM,7.35,,,UO_0000065,18.25,0.33,3.2,10.44,FALSE,CHEMBL4367261,Inhibition of purified human IDO1 using L-tryptophan as substrate preincubated for 5 mins followed by substrate addition and measured after 15 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4685,"Indoleamine 2,3-dioxygenase",Homo sapiens,SINGLE PROTEIN,CHEMBL4364294,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL14145,,0,144.18,0,2.08,1,c1ccc(-c2c[nH]cn2)cc1,IC50,=',27000,nM,4.57,,,UO_0000065,31.69,0.57,2.49,15.93,FALSE,CHEMBL4367261,Inhibition of purified human IDO1 using L-tryptophan as substrate preincubated for 5 mins followed by substrate addition and measured after 15 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4685,"Indoleamine 2,3-dioxygenase",Homo sapiens,SINGLE PROTEIN,CHEMBL4364294,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL457063,,0,160.18,0,1.78,3,Oc1ccccc1-c1c[nH]cn1,IC50,=',1700,nM,5.77,,,UO_0000065,36.02,0.66,3.99,11.8,FALSE,CHEMBL4367261,Inhibition of purified human IDO1 using L-tryptophan as substrate preincubated for 5 mins followed by substrate addition and measured after 15 mins by spectrophotometric method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4685,"Indoleamine 2,3-dioxygenase",Homo sapiens,SINGLE PROTEIN,CHEMBL4364294,1,Scientific Literature,J Med Chem,2019,None,
