Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4175635,,0,369.45,0,3.45,5k,COc1cc2ncc(-c3cccc(C#N)c3)n2cc1S(=O)(=O)C(C)(C)C,IC50,'=',180,nM,6.75,,,UO_0000065,18.26,0.35,3.29,7.99,FALSE,CHEMBL4135584,Inhibition of full length RIPK2 (unknown origin) pretreated for 30 mins followed by ATP addition measured after 2 hrs by ADP-d2 tracer based fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4164217,,0,394.88,0,3.94,5p,COc1cc2ncc(-c3cc(O)cc(Cl)c3)n2cc1S(=O)(=O)C(C)(C)C,IC50,'=',9,nM,8.05,,,UO_0000065,20.38,0.42,4.11,9.95,FALSE,CHEMBL4135584,Inhibition of full length RIPK2 (unknown origin) pretreated for 30 mins followed by ATP addition measured after 2 hrs by ADP-d2 tracer based fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4175533,,0,384.46,0,3.46,6a,COc1cc2ncc(-c3ccc4cn[nH]c4c3)n2cc1S(=O)(=O)C(C)(C)C,IC50,'=',200,nM,6.7,,,UO_0000065,17.42,0.34,3.24,7.5,FALSE,CHEMBL4135584,Inhibition of full length RIPK2 (unknown origin) pretreated for 30 mins followed by ATP addition measured after 2 hrs by ADP-d2 tracer based fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4169652,,0,420.92,0,3.75,7b,CC(C)(C)S(=O)(=O)c1cn2c(-c3cc(N)nc(Cl)c3)cnc2cc1OC1CC1,IC50,'=',58,nM,7.24,,,UO_0000065,17.19,0.35,3.49,7.27,FALSE,CHEMBL4135584,Inhibition of full length RIPK2 (unknown origin) pretreated for 30 mins followed by ATP addition measured after 2 hrs by ADP-d2 tracer based fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4161327,,0,378.43,0,2.7,8,CCOc1cc2ncc(-c3cc(N)nc(F)c3)n2cc1S(=O)(=O)C(C)C,IC50,'=',3,nM,8.52,,,UO_0000065,22.52,0.45,5.82,8.56,FALSE,CHEMBL4135584,Inhibition of full length RIPK2 (unknown origin) pretreated for 30 mins followed by ATP addition measured after 2 hrs by ADP-d2 tracer based fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4166239,,0,394.88,0,3.21,6h,COc1cc2ncc(-c3cc(N)nc(Cl)c3)n2cc1S(=O)(=O)C(C)(C)C,IC50,'=',9,nM,8.05,,,UO_0000065,20.38,0.42,4.84,8.08,FALSE,CHEMBL4135591,Inhibition of RIPK2 in human PBMCs assessed as reduction in MDP-stimulated IL8 secretion measured after 18 hrs,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4173493,,0,438.94,0,3.23,7e,COCCOc1cc2ncc(-c3cc(N)nc(Cl)c3)n2cc1S(=O)(=O)C(C)(C)C,IC50,'=',5,nM,8.3,,,UO_0000065,18.91,0.39,5.07,7.63,FALSE,CHEMBL4135584,Inhibition of full length RIPK2 (unknown origin) pretreated for 30 mins followed by ATP addition measured after 2 hrs by ADP-d2 tracer based fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4168738,,0,390.46,0,3.3,5m,COc1cc(-c2cnc3cc(OC)c(S(=O)(=O)C(C)(C)C)cn23)ccc1O,IC50,'=',11,nM,7.96,,,UO_0000065,20.38,0.4,4.66,8.83,FALSE,CHEMBL4135584,Inhibition of full length RIPK2 (unknown origin) pretreated for 30 mins followed by ATP addition measured after 2 hrs by ADP-d2 tracer based fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4166239,,0,394.88,0,3.21,6h,COc1cc2ncc(-c3cc(N)nc(Cl)c3)n2cc1S(=O)(=O)C(C)(C)C,IC50,'=',6,nM,8.22,,,UO_0000065,20.82,0.43,5.01,8.26,FALSE,CHEMBL4135584,Inhibition of full length RIPK2 (unknown origin) pretreated for 30 mins followed by ATP addition measured after 2 hrs by ADP-d2 tracer based fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4170048,,0,422.94,0,3.99,7c,CC(C)Oc1cc2ncc(-c3cc(N)nc(Cl)c3)n2cc1S(=O)(=O)C(C)(C)C,IC50,'=',7,nM,8.15,,,UO_0000065,19.28,0.4,4.16,8.19,FALSE,CHEMBL4135584,Inhibition of full length RIPK2 (unknown origin) pretreated for 30 mins followed by ATP addition measured after 2 hrs by ADP-d2 tracer based fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
CHEMBL4161327,,0,378.43,0,2.7,8,CCOc1cc2ncc(-c3cc(N)nc(F)c3)n2cc1S(=O)(=O)C(C)C,IC50,'=',30,nM,7.52,,,UO_0000065,19.88,0.4,4.82,7.55,FALSE,CHEMBL4135616,Inhibition of RIPK2 in human whole blood assessed as reduction in MDP-stimulated TNFalpha secretion pretreated for 30 mins followed by MDP stimulation measured after 20 hrs,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5014,Serine/threonine-protein kinase RIPK2,Homo sapiens,SINGLE PROTEIN,CHEMBL4130524,1,Scientific Literature,ACS Med Chem Lett,2017,None,
