Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4093037,,0,251.29,0,3.09,15,c1ccc2c(c1)OCCN2c1ccnc2[nH]ccc12,IC50,=',40,nM,7.4,,,UO_0000065,29.44,0.53,4.31,17.98,FALSE,CHEMBL4037917,Inhibition of human full length MTH1 using 8-Oxo-2-dGTP as substrate preincubated for 15 mins followed substrate addition measured after 1 hr by PPilight pyrophosphate-detection based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Homo sapiens,SINGLE PROTEIN,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL3781267,,0,168.2,0,-0.15,11,Nc1nccc(NCCCO)n1,IC50,=',2980,nM,5.53,,,UO_0000065,32.85,0.63,5.68,6.57,FALSE,CHEMBL3782136,Inhibition of recombinant MTH1 (unknown origin) assessed as hydrolysis of 8-oxodGTP to 8-oxodGMP and pyrophosphate by PPiLight assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Homo sapiens,SINGLE PROTEIN,CHEMBL3779767,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016,None,
CHEMBL4083073,,0,249.32,0,3.13,17,c1ccc2c(c1)CCN(c1ccnc3[nH]ccc13)C2,IC50,=',200,nM,6.7,,,UO_0000065,26.87,0.48,3.57,20.99,FALSE,CHEMBL4037917,Inhibition of human full length MTH1 using 8-Oxo-2-dGTP as substrate preincubated for 15 mins followed substrate addition measured after 1 hr by PPilight pyrophosphate-detection based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Homo sapiens,SINGLE PROTEIN,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL4083992,,0,363.42,0,2.43,22,O=C(NC1COC1)c1cc2c(N3CCCC3c3cccnc3)ccnc2[nH]1,IC50,=',0.1,nM,10,,,UO_0000065,27.52,0.51,7.57,12.03,FALSE,CHEMBL4037917,Inhibition of human full length MTH1 using 8-Oxo-2-dGTP as substrate preincubated for 15 mins followed substrate addition measured after 1 hr by PPilight pyrophosphate-detection based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Homo sapiens,SINGLE PROTEIN,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL4096813,,0,288.35,0,1.54,32; BAY-707,CCNC(=O)c1cc2c(N3CCOC[C@@H]3C)ccnc2[nH]1,IC50,=',0.8,nM,9.1,,,UO_0000065,31.55,0.59,7.56,12.95,FALSE,CHEMBL4037917,Inhibition of human full length MTH1 using 8-Oxo-2-dGTP as substrate preincubated for 15 mins followed substrate addition measured after 1 hr by PPilight pyrophosphate-detection based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Homo sapiens,SINGLE PROTEIN,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL3781015,,0,237.3,0,0.94,10,CC(C)(CO)COc1nc(N)nc2c1CCC2,IC50,=',4.5,nM,8.35,,,UO_0000065,35.17,0.67,7.41,10.27,FALSE,CHEMBL3782136,Inhibition of recombinant MTH1 (unknown origin) assessed as hydrolysis of 8-oxodGTP to 8-oxodGMP and pyrophosphate by PPiLight assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Homo sapiens,SINGLE PROTEIN,CHEMBL3779767,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016,None,
CHEMBL4095468,,0,311.77,0,3.78,10,O=C(NC1CC1)c1cc2c(-c3cccc(Cl)c3)ccnc2[nH]1,IC50,=',10,nM,8,,,UO_0000065,25.66,0.5,4.22,13.85,FALSE,CHEMBL4037917,Inhibition of human full length MTH1 using 8-Oxo-2-dGTP as substrate preincubated for 15 mins followed substrate addition measured after 1 hr by PPilight pyrophosphate-detection based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Homo sapiens,SINGLE PROTEIN,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL4094752,,0,195.22,0,2.62,3,c1cncc(-c2ccnc3[nH]ccc23)c1,IC50,=',3700,nM,5.43,,,UO_0000065,27.82,0.49,2.81,13.07,FALSE,CHEMBL4037917,Inhibition of human full length MTH1 using 8-Oxo-2-dGTP as substrate preincubated for 15 mins followed substrate addition measured after 1 hr by PPilight pyrophosphate-detection based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Homo sapiens,SINGLE PROTEIN,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL4069138,,0,299.76,0,3.59,8,CN(C)C(=O)c1cc2c(-c3cccc(Cl)c3)ccnc2[nH]1,IC50,=',2700,nM,5.57,,,UO_0000065,18.58,0.36,1.98,11.37,FALSE,CHEMBL4037917,Inhibition of human full length MTH1 using 8-Oxo-2-dGTP as substrate preincubated for 15 mins followed substrate addition measured after 1 hr by PPilight pyrophosphate-detection based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Homo sapiens,SINGLE PROTEIN,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL4070624,,0,314.39,0,1.93,34,CCNC(=O)c1cc2c(N3CCOCC3C3CC3)ccnc2[nH]1,IC50,=',0.1,nM,10,,,UO_0000065,31.81,0.59,8.07,14.23,FALSE,CHEMBL4037917,Inhibition of human full length MTH1 using 8-Oxo-2-dGTP as substrate preincubated for 15 mins followed substrate addition measured after 1 hr by PPilight pyrophosphate-detection based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3708265,"7,8-dihydro-8-oxoguanine triphosphatase",Homo sapiens,SINGLE PROTEIN,CHEMBL4033791,1,Scientific Literature,J Med Chem,2018,None,
