Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4282783,,0,503.58,1,3.48,24,C[C@H](CC(=O)N1CCC(O)(Cn2cnc3c(-c4ccccc4F)n(C)nc3c2=O)CC1)c1ccccc1,IC50,'=',90,nM,7.05,,,UO_0000065,13.99,0.26,3.57,7.56,FALSE,CHEMBL4255847,Inhibition of USP7 (unknown origin) by biochemical assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2157850,Ubiquitin carboxyl-terminal hydrolase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4251701,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4280922,,0,446.55,0,3.53,37,C[C@H](CC(=O)N1CCC(O)(Cn2cnc(Nc3ccccc3)cc2=O)CC1)c1ccccc1,IC50,'=',1900,nM,5.72,,,UO_0000065,12.81,0.24,2.19,6.54,FALSE,CHEMBL4255847,Inhibition of USP7 (unknown origin) by biochemical assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2157850,Ubiquitin carboxyl-terminal hydrolase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4251701,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4287543,,0,455.6,0,1.79,42,C[C@H](CC(=O)N1CCC(O)(Cn2cnc(N(C)CCN(C)C)cc2=O)CC1)c1ccccc1,IC50,'=',390,nM,6.41,,,UO_0000065,14.07,0.27,4.62,7.82,FALSE,CHEMBL4255847,Inhibition of USP7 (unknown origin) by biochemical assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2157850,Ubiquitin carboxyl-terminal hydrolase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4251701,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4284337,,0,395.46,0,1.12,6,Cn1cc2ncn(CC3(O)CCN(C(=O)CCc4ccccc4)CC3)c(=O)c2n1,IC50,'=',44000,nM,4.36,,,UO_0000065,11.02,0.21,3.24,4.67,FALSE,CHEMBL4255847,Inhibition of USP7 (unknown origin) by biochemical assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2157850,Ubiquitin carboxyl-terminal hydrolase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4251701,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4287739,,0,490.42,0,3.77,16,C[C@H](CC(=O)N1CCC(O)(Cn2cnc3c(Br)csc3c2=O)CC1)c1ccccc1,IC50,'=',300,nM,6.52,,,UO_0000065,13.3,0.3,2.75,8.65,FALSE,CHEMBL4255847,Inhibition of USP7 (unknown origin) by biochemical assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2157850,Ubiquitin carboxyl-terminal hydrolase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4251701,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4276901,,0,428.53,0,1.85,43,COCCNc1cc(=O)n(CC2(O)CCN(C(=O)C[C@@H](C)c3ccccc3)CC2)cn1,IC50,'=',12000,nM,4.92,,,UO_0000065,11.48,0.22,3.07,5.09,FALSE,CHEMBL4255847,Inhibition of USP7 (unknown origin) by biochemical assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2157850,Ubiquitin carboxyl-terminal hydrolase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4251701,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4290015,,0,500.6,1,2.93,27,C[C@H](CC(=O)N1CCC(O)(Cn2cnc3c(-c4cccc(N)c4)n(C)nc3c2=O)CC1)c1ccccc1,IC50,'=',24,nM,7.62,,,UO_0000065,15.22,0.28,4.69,6.39,FALSE,CHEMBL4255847,Inhibition of USP7 (unknown origin) by biochemical assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2157850,Ubiquitin carboxyl-terminal hydrolase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4251701,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4280334,,0,442.56,0,1.73,41,C[C@H](CC(=O)N1CCC(O)(Cn2cnc(OCCN(C)C)cc2=O)CC1)c1ccccc1,IC50,'=',7200,nM,5.14,,,UO_0000065,11.62,0.22,3.41,5.85,FALSE,CHEMBL4255847,Inhibition of USP7 (unknown origin) by biochemical assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2157850,Ubiquitin carboxyl-terminal hydrolase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4251701,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4287544,,0,476.4,0,3.21,9,O=C(CCc1ccccc1)N1CCC(O)(Cn2cnc3cc(Br)sc3c2=O)CC1,IC50,'=',60000,nM,4.22,,,UO_0000065,8.86,0.2,1.01,5.6,FALSE,CHEMBL4255847,Inhibition of USP7 (unknown origin) by biochemical assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2157850,Ubiquitin carboxyl-terminal hydrolase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4251701,1,Scientific Literature,ACS Med Chem Lett,2018,None,
CHEMBL4292042,,0,437.57,0,3.32,12,O=C(CCc1ccccc1)N1CCC(O)(Cn2cnc3c(C4CC4)csc3c2=O)CC1,IC50,'=',20000,nM,4.7,,,UO_0000065,10.74,0.21,1.38,6.23,FALSE,CHEMBL4255847,Inhibition of USP7 (unknown origin) by biochemical assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2157850,Ubiquitin carboxyl-terminal hydrolase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4251701,1,Scientific Literature,ACS Med Chem Lett,2018,None,
