Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4642255,,0,455.42,0,4.71,7,CC[C@@](O)(c1cn(Cc2ccc3c(-c4ccc(F)cc4)cc(C#N)nc3c2)nn1)C(F)(F)F,IC50,'=',409,nM,6.39,,,UO_0000065,14.03,0.26,1.68,7.29,FALSE,CHEMBL4620114,Negative allosteric modulation of human mGluR2 by FLIPR assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4619715,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4636186,,0,282.28,0,2.35,31,O=c1[nH]nc2ccccccc(-c3ccc(F)cc3)nn12,IC50,'=',367,nM,6.43,,,UO_0000065,22.8,0.42,4.09,10.21,FALSE,CHEMBL4620114,Negative allosteric modulation of human mGluR2 by FLIPR assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4619715,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL3945170,,0,266.27,0,3.14,21,NC(=O)c1cc(-c2ccc(F)cc2)c2ccccc2n1,IC50,'=',149,nM,6.83,,,UO_0000065,25.64,0.47,3.69,12.2,FALSE,CHEMBL4620114,Negative allosteric modulation of human mGluR2 by FLIPR assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4619715,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL3953417,,0,377.42,0,3.65,26,NC(=O)c1cc(-c2ccc(F)cc2)c2ccc(CN3CCCCC3=O)cc2n1,IC50,'=',58,nM,7.24,,,UO_0000065,19.17,0.35,3.59,9.49,FALSE,CHEMBL4620114,Negative allosteric modulation of human mGluR2 by FLIPR assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4619715,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4638570,,0,455.44,0,3.8,9,CC[C@@](O)(c1cn(Cc2ccc3c(-c4ccccc4)cc(C(N)=O)nc3c2)nn1)C(F)(F)F,IC50,'=',68,nM,7.17,,,UO_0000065,15.74,0.3,3.37,6.7,FALSE,CHEMBL4620114,Negative allosteric modulation of human mGluR2 by FLIPR assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4619715,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4108213,,0,474.42,0,3.33,12,CC[C@@](O)(c1cn(Cc2ccc3c(-c4ccc(F)cn4)cc(C(N)=O)nc3c2)nn1)C(F)(F)F,IC50,'=',36,nM,7.44,,,UO_0000065,15.69,0.3,4.11,6.21,FALSE,CHEMBL4620114,Negative allosteric modulation of human mGluR2 by FLIPR assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4619715,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4643527,,0,473.43,0,3.94,10,CC[C@@](O)(c1cn(Cc2ccc3c(-c4cccc(F)c4)cc(C(N)=O)nc3c2)nn1)C(F)(F)F,IC50,'=',144,nM,6.84,,,UO_0000065,14.45,0.27,2.9,6.4,FALSE,CHEMBL4620114,Negative allosteric modulation of human mGluR2 by FLIPR assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4619715,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL3974648,,0,365.41,0,2.97,23,NC(=O)c1cc(-c2ccc(F)cc2)c2ccc(CN3CCOCC3)cc2n1,IC50,'=',68,nM,7.17,,,UO_0000065,19.61,0.36,4.2,10.47,FALSE,CHEMBL4620114,Negative allosteric modulation of human mGluR2 by FLIPR assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4619715,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4634600,,0,277.3,0,3.89,29,O=C1NCc2c1cc(-c1ccc(F)cc1)c1ccccc21,IC50,'=',404,nM,6.39,,,UO_0000065,23.06,0.42,2.5,21.97,FALSE,CHEMBL4620114,Negative allosteric modulation of human mGluR2 by FLIPR assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4619715,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4640529,,0,473.43,0,3.94,11,CC[C@@](O)(c1cn(Cc2ccc3c(-c4ccccc4F)cc(C(N)=O)nc3c2)nn1)C(F)(F)F,IC50,'=',36,nM,7.44,,,UO_0000065,15.72,0.3,3.5,6.96,FALSE,CHEMBL4620114,Negative allosteric modulation of human mGluR2 by FLIPR assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL5137,Metabotropic glutamate receptor 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4619715,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
