Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4464565,,0,409.49,0,4.01,Ex 11,CC(C)COc1cc(NCc2nc(-c3ccccc3)c[nH]2)ccc1C(=N)N,IC50,'=',6309.57,nM,5.2,,,UO_0000065,14.31,0.26,1.19,5.21,FALSE,CHEMBL4388469,Inhibition of recombinant 6His-Q-FLAG tagged human KLK5 expressed in baculovirus infected Sf9 insect cells using (Tos-Gly-Pro-Arg)2[R110].2TFA as substrate measured at 30 secs interval for 5 mins by fluorescence intensity assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL4447,Kallikrein 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4387717,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,
CHEMBL4537596,,0,315.33,0,2.24,8,Cc1cc(C(=N)N)ccc1NC(=O)c1ccccc1O,IC50,'=',12589.25,nM,4.9,,,UO_0000065,18.2,0.33,2.66,4.94,FALSE,CHEMBL4424180,Inhibition of recombinant human FLAG-tagged KLK5 expressed in baculovirus infected sf9 insect cells using (Tos-Gly-Pro-Arg)2[R110].2TFA as substrate measured every 30 secs intervals for 5 mins by Rhodamine110 dye-based fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL4447,Kallikrein 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4422656,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,
CHEMBL4547831,,0,325.37,0,2.77,Ex 6,Cc1ccc2[nH]c(CNc3ccc(C(=N)N)cc3)nc2c1,IC50,'=',10000,nM,5,,,UO_0000065,17.9,0.33,2.23,5.52,FALSE,CHEMBL4388469,Inhibition of recombinant 6His-Q-FLAG tagged human KLK5 expressed in baculovirus infected Sf9 insect cells using (Tos-Gly-Pro-Arg)2[R110].2TFA as substrate measured at 30 secs interval for 5 mins by fluorescence intensity assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL4447,Kallikrein 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4387717,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,
CHEMBL4536142,,0,423.71,,,24,Cc1ccc2c(c1)C(Cc1ccc(C(=N)N)c(OCc3cccnc3)c1)OB2O,IC50,'=',19.95,nM,7.7,,,UO_0000065,19.88,,,,FALSE,CHEMBL4400458,Inhibition of human recombinant 6His-Q-FLAG-tagged KLK5 expressed in baculovirus infected Sf9 insect cells using (Tos-Gly-Pro-Arg)2[R110].2TFA as substrate measured at 30 secs interval for 5 mins by FLINT assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL4447,Kallikrein 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4396973,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,
CHEMBL412448,,0,269.3,0,2.24,2,Cc1cccc(C(=O)Nc2ccc(C(=N)N)cc2)c1O,IC50,'=',7943.28,nM,5.1,,,UO_0000065,18.94,0.35,2.86,5.14,FALSE,CHEMBL4424180,Inhibition of recombinant human FLAG-tagged KLK5 expressed in baculovirus infected sf9 insect cells using (Tos-Gly-Pro-Arg)2[R110].2TFA as substrate measured every 30 secs intervals for 5 mins by Rhodamine110 dye-based fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL4447,Kallikrein 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4422656,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,
CHEMBL4460168,,0,423.71,,,18,Cc1cccc2c1B(O)OC(c1ccc(C(=N)N)c(OCc3cccnc3)c1)C2,IC50,'=',25.12,nM,7.6,,,UO_0000065,19.63,,,,FALSE,CHEMBL4400458,Inhibition of human recombinant 6His-Q-FLAG-tagged KLK5 expressed in baculovirus infected Sf9 insect cells using (Tos-Gly-Pro-Arg)2[R110].2TFA as substrate measured at 30 secs interval for 5 mins by FLINT assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL4447,Kallikrein 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4396973,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,
CHEMBL4551333,,0,381.44,0,3.37,Ex 10,CCOc1cc(NCc2nc(-c3ccccc3)c[nH]2)ccc1C(=N)N,IC50,'=',316.23,nM,6.5,,,UO_0000065,19.38,0.36,3.13,6.51,FALSE,CHEMBL4388469,Inhibition of recombinant 6His-Q-FLAG tagged human KLK5 expressed in baculovirus infected Sf9 insect cells using (Tos-Gly-Pro-Arg)2[R110].2TFA as substrate measured at 30 secs interval for 5 mins by fluorescence intensity assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL4447,Kallikrein 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4387717,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,
CHEMBL4526462,,0,335.79,0,2.33,6,CCOc1cccc(C(=O)Nc2ccc(C(=N)N)cc2)c1O,IC50,'=',5011.87,nM,5.3,,,UO_0000065,17.71,0.33,2.97,4.89,FALSE,CHEMBL4424180,Inhibition of recombinant human FLAG-tagged KLK5 expressed in baculovirus infected sf9 insect cells using (Tos-Gly-Pro-Arg)2[R110].2TFA as substrate measured every 30 secs intervals for 5 mins by Rhodamine110 dye-based fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL4447,Kallikrein 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4422656,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,
CHEMBL4465265,,0,477.68,,,28,N=C(N)c1ccc([C@@H]2Cc3ccc(C(F)(F)F)cc3B(O)O2)cc1OCc1cccnc1,IC50,'=',5.012,nM,8.3,,,UO_0000065,18.81,,,,FALSE,CHEMBL4400458,Inhibition of human recombinant 6His-Q-FLAG-tagged KLK5 expressed in baculovirus infected Sf9 insect cells using (Tos-Gly-Pro-Arg)2[R110].2TFA as substrate measured at 30 secs interval for 5 mins by FLINT assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL4447,Kallikrein 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4396973,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,
CHEMBL4558285,,0,477.68,,,27,N=C(N)c1ccc([C@H]2Cc3ccc(C(F)(F)F)cc3B(O)O2)cc1OCc1cccnc1,IC50,'=',5.012,nM,8.3,,,UO_0000065,18.81,,,,FALSE,CHEMBL4400458,Inhibition of human recombinant 6His-Q-FLAG-tagged KLK5 expressed in baculovirus infected Sf9 insect cells using (Tos-Gly-Pro-Arg)2[R110].2TFA as substrate measured at 30 secs interval for 5 mins by FLINT assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL4447,Kallikrein 5,Homo sapiens,SINGLE PROTEIN,CHEMBL4396973,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL3308860,
