Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4435257,,0,424.53,0,3.12,26,C[C@@H](NC(=O)c1cc(-c2ccccc2)nn1C)c1ccc(N2CCCS2(=O)=O)cc1,IC50,'=',2500,nM,5.6,,,UO_0000065,13.2,0.26,2.48,6.65,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4435368,,0,349.39,0,3.28,15,C[C@@H](NC(=O)c1cc(-c2ccccc2)nn1C)c1ccc(C(=O)O)cc1,IC50,'=',400,nM,6.4,,,UO_0000065,18.31,0.34,3.12,7.6,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4436264,,0,483.37,0,4.14,58,Cc1cc2c(cc(C(=O)N[C@H](C)c3ccc(S(=O)(=O)CC(=O)O)cc3)n2C)c(Cl)c1Cl,IC50,'=',2,nM,8.7,,,UO_0000065,18,0.38,4.56,8.25,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4437057,,0,386.84,0,4.03,46,COc1cc(Cl)cc2cc(C(=O)N[C@H](C)c3ccc(C(=O)O)cc3)n(C)c12,IC50,'=',72,nM,7.14,,,UO_0000065,18.46,0.36,3.11,8.87,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4438014,,0,405.28,0,4.98,57,Cc1cc2c(cc(C(=O)N[C@H](C)c3ccc(C(=O)O)cc3)n2C)c(Cl)c1Cl,IC50,'=',14,nM,7.85,,,UO_0000065,19.38,0.4,2.87,11.01,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4441109,,0,388.47,0,3.7,21,C[C@@H](NC(=O)c1cc(-c2ccccc2)nn1C)c1ccc(N2CCCC2=O)cc1,IC50,'=',3300,nM,5.48,,,UO_0000065,14.11,0.26,1.78,8.15,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4443133,,0,328.8,0,3.3,rac-60,Cn1c(C(=O)NC(CO)c2ccccc2)cc2cc(Cl)ccc21,IC50,'=',5200,nM,5.28,,,UO_0000065,16.07,0.31,1.98,9.74,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4443791,,0,398.49,0,2.95,32,C[C@@H](NC(=O)c1cc(-c2ccccc2)nn1C)c1ccc(NS(C)(=O)=O)cc1,IC50,'=',53800,nM,4.27,,,UO_0000065,10.71,0.21,1.32,4.59,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4444192,,0,406.82,0,4.96,54,C[C@@H](NC(=O)c1cc2c(Cl)cc(C(F)F)cc2n1C)c1ccc(C(=O)O)cc1,IC50,'=',81,nM,7.09,,,UO_0000065,17.43,0.35,2.13,9.94,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4446190,,0,432.48,0,3.16,28,C[C@@H](NC(=O)c1cc(-c2ccccc2)nn1C)c1ccc(N2C(=O)CC[C@H]2C(=O)O)cc1,IC50,'=',100,nM,7,,,UO_0000065,16.19,0.3,3.84,6.7,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4446511,,0,356.81,0,4.02,45,C[C@@H](NC(=O)c1cc2cc(Cl)ccc2n1C)c1ccc(C(=O)O)cc1,IC50,'=',254,nM,6.59,,,UO_0000065,18.48,0.36,2.58,9.25,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4446581,,0,412.52,0,2.97,rac-31,CC(NC(=O)c1cc(-c2ccccc2)nn1C)c1ccc(N(C)S(C)(=O)=O)cc1,IC50,'=',6700,nM,5.17,,,UO_0000065,12.54,0.24,2.2,6.14,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4451612,,0,319.41,0,3.89,36,Cc1ccc([C@@H](C)NC(=O)c2cc(-c3ccccc3)nn2C)cc1,IC50,'=',23200,nM,4.63,,,UO_0000065,14.51,0.26,0.74,9.88,FALSE,CHEMBL4375167,Inhibition of N-terminal His6-tagged human PHGDH (4 to 315 residues) assessed as effect on NADH fluorescence incubated for 2 hrs using 3-PG substrate in presence of 19 uM NAD+ and PSAT1 by diaphorase based luminescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,Homo sapiens,SINGLE PROTEIN,CHEMBL4373702,1,Scientific Literature,J Med Chem,2019,None,
