Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4645069,,0,680.64,1,4.88,5h,CC[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CC(F)(F)C[C@@H]2C)c(C(F)F)c1F)C(F)(F)F,IC50,=',32,nM,7.5,,,UO_0000065,11.01,0.23,2.61,5.82,FALSE,CHEMBL4620706,Inverse agonist activity at human RORgammat LBD by M1H cell based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,CHEMBL4619752,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4647352,,0,684.6,1,4.57,5e,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC(F)(F)CC2)c(C(F)(F)F)c1F)C(F)(F)F,IC50,=',105,nM,6.98,,,UO_0000065,10.19,0.22,2.41,5.42,FALSE,CHEMBL4620706,Inverse agonist activity at human RORgammat LBD by M1H cell based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,CHEMBL4619752,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4639213,,0,645.55,1,4.52,3i,CC(C)(O)CNC(=O)c1nc(C(=O)N2CCC(F)(F)CC2)c(-c2ccc(S(=O)(=O)NC(C)(C)CF)c(Cl)c2Cl)s1,IC50,=',28,nM,7.55,,,UO_0000065,11.7,0.26,3.03,5.87,FALSE,CHEMBL4620706,Inverse agonist activity at human RORgammat LBD by M1H cell based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,CHEMBL4619752,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4639646,,0,687.51,2,5.26,2k,CCN(CCC(F)(F)F)C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c1Cl,IC50,=',17,nM,7.77,,,UO_0000065,11.3,0.25,2.51,6.04,FALSE,CHEMBL4620706,Inverse agonist activity at human RORgammat LBD by M1H cell based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,CHEMBL4619752,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4636470,,0,649.1,2,5,5b,CC[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N(CC)CC)c(C(F)F)c1Cl)C(F)(F)F,IC50,=',24,nM,7.62,,,UO_0000065,11.74,0.25,2.62,5.92,FALSE,CHEMBL4620706,Inverse agonist activity at human RORgammat LBD by M1H cell based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,CHEMBL4619752,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4639401,,0,657.56,1,4.86,1c,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC3(CC2)CC3)c(Cl)c1Cl)C(F)(F)F,IC50,=',4.3,nM,8.37,,,UO_0000065,12.72,0.28,3.51,6.5,FALSE,CHEMBL4620706,Inverse agonist activity at human RORgammat LBD by M1H cell based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,CHEMBL4619752,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4647081,,0,633.54,1,4.72,2d,CCN(C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c1Cl)C(C)C,IC50,=',16,nM,7.8,,,UO_0000065,12.31,0.27,3.08,6.06,FALSE,CHEMBL4620706,Inverse agonist activity at human RORgammat LBD by M1H cell based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,CHEMBL4619752,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4636603,,0,645.55,1,4.72,1q,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C(=O)N2CCC(C)(C)C2)c(Cl)c1Cl)C(F)(F)F,IC50,=',10,nM,8,,,UO_0000065,12.39,0.27,3.28,6.22,FALSE,CHEMBL4620706,Inverse agonist activity at human RORgammat LBD by M1H cell based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,CHEMBL4619752,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4636509,,0,635.53,2,5.49,4q,C[C@H](NS(=O)(=O)c1ccc(-c2sc(NCCC(C)(C)O)nc2C(=O)N2CCC(F)CC2)c(Cl)c1Cl)C(F)(F)F,IC50,=',37,nM,7.43,,,UO_0000065,11.69,0.26,1.94,6.66,FALSE,CHEMBL4620706,Inverse agonist activity at human RORgammat LBD by M1H cell based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,CHEMBL4619752,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
CHEMBL4644560,,0,655.5,1,4.57,2j,CCN(CC(F)F)C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(Cl)c1Cl,IC50,=',27,nM,7.57,,,UO_0000065,11.55,0.26,3,5.88,FALSE,CHEMBL4620706,Inverse agonist activity at human RORgammat LBD by M1H cell based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,CHEMBL4619752,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,
