Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4166966,,0,187.15,0,-1.5,13k,C#CCO[C@H](C(=O)O)[C@H](N)C(=O)O,IC50,'=',851.14,nM,6.07,,,UO_0000065,32.43,0.64,7.57,5.53,FALSE,CHEMBL4150968,Inhibition of human EAAT3 expressed in HEK293 cells assessed as reduction in [3H]-D-Asp uptake incubated for 4 mins by scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2721,Excitatory amino acid transporter 3,Homo sapiens,SINGLE PROTEIN,CHEMBL4145652,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL3920488,,0,330.32,0,-0.97,4o; diastereomeric mixture,CC(=O)c1ccc(S(=O)(=O)NC(C(=O)O)[C@H](N)C(=O)O)cc1,IC50,'=',100000,nM,4,,,UO_0000065,12.11,0.25,4.97,2.44,FALSE,CHEMBL3861226,Inhibition of [3H]-D-Asp uptake at human EAAT3 expressed in HEK293 cells measured after 3 mins by TopCount method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2721,Excitatory amino acid transporter 3,Homo sapiens,SINGLE PROTEIN,CHEMBL3860066,1,Scientific Literature,J Med Chem,2016,CHEMBL3307715,
CHEMBL3919821,,0,316.34,0,-0.55,4v; diastereomeric mixture,Cc1cc(C)cc(S(=O)(=O)NC(C(=O)O)[C@H](N)C(=O)O)c1,IC50,'=',100000,nM,4,,,UO_0000065,12.64,0.26,4.55,2.72,FALSE,CHEMBL3861226,Inhibition of [3H]-D-Asp uptake at human EAAT3 expressed in HEK293 cells measured after 3 mins by TopCount method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2721,Excitatory amino acid transporter 3,Homo sapiens,SINGLE PROTEIN,CHEMBL3860066,1,Scientific Literature,J Med Chem,2016,CHEMBL3307715,
CHEMBL4790691,,0,690.57,1,4.25,15d,Cc1ccc(S(=O)(=O)n2cc(-c3ccc(C(F)(F)F)cc3)c3ccc(CO[C@H](C(=O)O)[C@H](N)C(=O)O)cc32)cc1,IC50,'=',7600,nM,5.12,,,,8.88,0.17,0.87,3.44,FALSE,CHEMBL4731538,Inhibition of human EAAT3 transfected in HEK293 cells assessed as inhibition of [3H]-D-aspartate uptake incubated for 4 mins by TopCount scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2721,Excitatory amino acid transporter 3,Homo sapiens,SINGLE PROTEIN,CHEMBL4725471,1,Scientific Literature,ACS Med Chem Lett,2020,None,TIME = 0.06667 hr
CHEMBL4743706,,0,622.57,1,3.24,15c,Cc1ccc(S(=O)(=O)n2cc(-c3ccccc3)c3ccc(CO[C@H](C(=O)O)[C@H](N)C(=O)O)cc32)cc1,IC50,'=',30000,nM,4.52,,,,8.89,0.17,1.28,3.04,FALSE,CHEMBL4731538,Inhibition of human EAAT3 transfected in HEK293 cells assessed as inhibition of [3H]-D-aspartate uptake incubated for 4 mins by TopCount scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2721,Excitatory amino acid transporter 3,Homo sapiens,SINGLE PROTEIN,CHEMBL4725471,1,Scientific Literature,ACS Med Chem Lett,2020,None,TIME = 0.06667 hr
CHEMBL4759043,,0,628.6,1,3.3,15b,Cc1ccc(S(=O)(=O)n2cc(-c3ccsc3)c3ccc(CO[C@H](C(=O)O)[C@H](N)C(=O)O)cc32)cc1,IC50,'=',8900,nM,5.05,,,,9.82,0.2,1.75,3.39,FALSE,CHEMBL4731538,Inhibition of human EAAT3 transfected in HEK293 cells assessed as inhibition of [3H]-D-aspartate uptake incubated for 4 mins by TopCount scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2721,Excitatory amino acid transporter 3,Homo sapiens,SINGLE PROTEIN,CHEMBL4725471,1,Scientific Literature,ACS Med Chem Lett,2020,None,TIME = 0.06667 hr
CHEMBL4798659,,0,468.92,0,1.57,15a,Cc1ccc(S(=O)(=O)n2ccc3ccc(CO[C@H](C(=O)O)[C@H](N)C(=O)O)cc32)cc1,IC50,'=',18620.87,nM,4.73,,,,10.94,0.22,3.16,3.18,FALSE,CHEMBL4731538,Inhibition of human EAAT3 transfected in HEK293 cells assessed as inhibition of [3H]-D-aspartate uptake incubated for 4 mins by TopCount scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2721,Excitatory amino acid transporter 3,Homo sapiens,SINGLE PROTEIN,CHEMBL4725471,1,Scientific Literature,ACS Med Chem Lett,2020,None,TIME = 0.06667 hr
CHEMBL3974720,,0,302.31,0,-0.86,4h; diastereomeric mixture,Cc1ccc(S(=O)(=O)NC(C(=O)O)[C@H](N)C(=O)O)cc1,IC50,'=',1949.84,nM,5.71,,,UO_0000065,18.89,0.39,6.57,3.89,FALSE,CHEMBL3861226,Inhibition of [3H]-D-Asp uptake at human EAAT3 expressed in HEK293 cells measured after 3 mins by TopCount method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2721,Excitatory amino acid transporter 3,Homo sapiens,SINGLE PROTEIN,CHEMBL3860066,1,Scientific Literature,J Med Chem,2016,CHEMBL3307715,
CHEMBL3938810,,0,302.31,0,-0.86,4u; diastereomeric mixture,Cc1ccccc1S(=O)(=O)NC(C(=O)O)[C@H](N)C(=O)O,IC50,'=',8800,nM,5.06,,,UO_0000065,16.72,0.35,5.92,3.44,FALSE,CHEMBL3861226,Inhibition of [3H]-D-Asp uptake at human EAAT3 expressed in HEK293 cells measured after 3 mins by TopCount method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2721,Excitatory amino acid transporter 3,Homo sapiens,SINGLE PROTEIN,CHEMBL3860066,1,Scientific Literature,J Med Chem,2016,CHEMBL3307715,
CHEMBL482080,,0,233.22,0,-0.56,2e,COC(=O)CC[C@H](C[C@H](N)C(=O)O)C(=O)O,Ki,'=',3000,nM,5.52,,,UO_0000065,23.68,0.47,6.08,4.35,FALSE,CHEMBL1013069,Inhibition of [3H]D-Asp uptake at human EAAT3 in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2721,Excitatory amino acid transporter 3,Homo sapiens,SINGLE PROTEIN,CHEMBL1155081,1,Scientific Literature,J. Med. Chem.,2008,CHEMBL3307715,
